song_id,title,artist,expected_filename,have_file,notes
twelve_bar_blues,12-Bar Blues,Traditional,twelve_bar_blues.mp3,,
achy_breaky_heart,Achy Breaky Heart,Billy Ray Cyrus,achy_breaky_heart.mp3,,
all_of_me,All of Me,John Legend,all_of_me.mp3,,
another_one_bites_the_dust,Another One Bites the Dust,Queen,another_one_bites_the_dust.mp3,,
autumn_leaves,Autumn Leaves,Jazz Standard,autumn_leaves.mp3,,
bad_moon_rising,Bad Moon Rising,CCR,bad_moon_rising.mp3,,
billie_jean,Billie Jean,Michael Jackson,billie_jean.mp3,,
bohemian_rhapsody,Bohemian Rhapsody,Queen,bohemian_rhapsody.mp3,,
boom_boom,Boom Boom,John Lee Hooker,boom_boom.mp3,,
brown_eyed_girl,Brown Eyed Girl,Van Morrison,brown_eyed_girl.mp3,,
cant_help_falling_in_love,Can't Help Falling in Love,Elvis Presley,cant_help_falling_in_love.mp3,,
chain_of_fools,Chain of Fools,Aretha Franklin,chain_of_fools.mp3,,
clocks,Clocks,Coldplay,clocks.mp3,,
coconut,Coconut,Harry Nilsson,coconut.mp3,,
come_as_you_are,Come As You Are,Nirvana,come_as_you_are.mp3,,
come_together,Come Together,The Beatles,come_together.mp3,,
count_on_me,Count on Me,Bruno Mars,count_on_me.mp3,,
country_roads,Country Roads,John Denver,country_roads.mp3,,
creep,Creep,Radiohead,creep.mp3,,
do_i_wanna_know,Do I Wanna Know,Arctic Monkeys,do_i_wanna_know.mp3,,
dreams,Dreams,Fleetwood Mac,dreams.mp3,,
eleanor_rigby,Eleanor Rigby,The Beatles,eleanor_rigby.mp3,,
feel_good_inc,Feel Good Inc,Gorillaz,feel_good_inc.mp3,,
fever,Fever,Peggy Lee,fever.mp3,,
fly_me_to_the_moon,Fly Me to the Moon,Frank Sinatra,fly_me_to_the_moon.mp3,,
get_the_party_started,Get the Party Started,Pink,get_the_party_started.mp3,,
get_up_stand_up,Get Up Stand Up,Bob Marley,get_up_stand_up.mp3,,
hallelujah,Hallelujah,Leonard Cohen,hallelujah.mp3,,
happy_birthday,Happy Birthday,Traditional,happy_birthday.mp3,,
have_you_ever_seen_the_rain,Have You Ever Seen the Rain,CCR,have_you_ever_seen_the_rain.mp3,,
hey_soul_sister,Hey Soul Sister,Train,hey_soul_sister.mp3,,
higher_ground,Higher Ground,Stevie Wonder,higher_ground.mp3,,
horse_with_no_name,Horse With No Name,America,horse_with_no_name.mp3,,
hotel_california,Hotel California,Eagles,hotel_california.mp3,,
hysteria,Hysteria,Muse,hysteria.mp3,,
ill_take_you_there,I'll Take You There,The Staple Singers,ill_take_you_there.mp3,,
im_yours,I'm Yours,Jason Mraz,im_yours.mp3,,
imagine,Imagine,John Lennon,imagine.mp3,,
island_loop,Island Loop,SparkSuite,island_loop.mp3,,
its_all_good,Its All Good,Bob Dylan,its_all_good.mp3,,
jambalaya,Jambalaya,Hank Williams,jambalaya.mp3,,
jump_into_the_fire,Jump into the Fire,Harry Nilsson,jump_into_the_fire.mp3,,
knockin_on_heavens_door,Knockin' on Heaven's Door,Bob Dylan,knockin_on_heavens_door.mp3,,
la_bamba,La Bamba,Ritchie Valens,la_bamba.mp3,,
lava,Lava,Disney,lava.mp3,,
lean_on_me,Lean on Me,Bill Withers,lean_on_me.mp3,,
leaving_on_a_jet_plane,Leaving on a Jet Plane,John Denver,leaving_on_a_jet_plane.mp3,,
let_it_be,Let It Be,The Beatles,let_it_be.mp3,,
longview,Longview,Green Day,longview.mp3,,
love_me_do,Love Me Do,The Beatles,love_me_do.mp3,,
mannish_boy,Mannish Boy,Muddy Waters,mannish_boy.mp3,,
money,Money,Pink Floyd,money.mp3,,
moonlight_sonata,Moonlight Sonata,Beethoven,moonlight_sonata.mp3,,
moonlit_picking,Moonlit Picking,SparkSuite,moonlit_picking.mp3,,
moves_like_jagger,Moves Like Jagger,Maroon 5,moves_like_jagger.mp3,,
music,Music,Madonna,music.mp3,,
palm_arpeggio,Palm Arpeggio,SparkSuite,palm_arpeggio.mp3,,
perfect,Perfect,Ed Sheeran,perfect.mp3,,
peter_gunn,Peter Gunn,Henry Mancini,peter_gunn.mp3,,
piano_man,Piano Man,Billy Joel,piano_man.mp3,,
prelude_in_c,Prelude in C,J.S. Bach,prelude_in_c.mp3,,
pumped_up_kicks,Pumped Up Kicks,Foster the People,pumped_up_kicks.mp3,,
riptide,Riptide,Vance Joy,riptide.mp3,,
river_flows_in_you,River Flows in You,Yiruma,river_flows_in_you.mp3,,
row_row_row_your_boat,Row Row Row Your Boat,Traditional,row_row_row_your_boat.mp3,,
royals,Royals,Lorde,royals.mp3,,
run_through_the_jungle,Run Through the Jungle,CCR,run_through_the_jungle.mp3,,
seven_nation_army,Seven Nation Army,The White Stripes,seven_nation_army.mp3,,
shakedown_street,Shakedown Street,Grateful Dead,shakedown_street.mp3,,
skinny_love,Skinny Love,Bon Iver,skinny_love.mp3,,
smells_like_teen_spirit,Smells Like Teen Spirit,Nirvana,smells_like_teen_spirit.mp3,,
smokestack_lightning,Smokestack Lightning,Howlin' Wolf,smokestack_lightning.mp3,,
someone_like_you,Someone Like You,Adele,someone_like_you.mp3,,
somewhere_over_the_rainbow,Somewhere Over the Rainbow,IZ,somewhere_over_the_rainbow.mp3,,
